Alps                       by Peter Bird, September 2001
 +6.71754E+00,+3.72467E+01
 +7.29609E+00,+3.64716E+01
 +7.86316E+00,+3.56937E+01
 +8.41925E+00,+3.49132E+01
 +8.96486E+00,+3.41303E+01
 +9.96522E+00,+3.36789E+01
 +1.09550E+01,+3.32195E+01
 +1.19344E+01,+3.27524E+01
 +1.29035E+01,+3.22778E+01
 +1.38625E+01,+3.17958E+01
 +1.48114E+01,+3.13067E+01
 +1.57504E+01,+3.08107E+01
 +1.64075E+01,+3.14590E+01
 +1.70737E+01,+3.21039E+01
 +1.77493E+01,+3.27452E+01
 +1.84348E+01,+3.33829E+01
 +1.91303E+01,+3.40167E+01
 +1.97009E+01,+3.48229E+01
 +2.02828E+01,+3.56264E+01
 +2.08765E+01,+3.64271E+01
 +2.18769E+01,+3.64370E+01
 +2.28774E+01,+3.64469E+01
 +2.37061E+01,+3.66028E+01
 +2.45381E+01,+3.67529E+01
 +2.45026E+01,+3.75558E+01
 +2.44664E+01,+3.83586E+01
 +2.53944E+01,+3.82093E+01
 +2.63185E+01,+3.80528E+01
 +2.66072E+01,+3.76388E+01
 +2.64240E+01,+3.70411E+01
 +2.62436E+01,+3.64432E+01
 +2.69047E+01,+3.63368E+01
 +2.75639E+01,+3.62268E+01
 +2.85556E+01,+3.63706E+01
 +2.95509E+01,+3.65061E+01
 +3.02085E+01,+3.67812E+01
 +3.08708E+01,+3.70527E+01
 +3.10669E+01,+3.77696E+01
 +3.12669E+01,+3.84861E+01
 +3.08933E+01,+3.88492E+01
 +3.05159E+01,+3.92110E+01
 +2.97765E+01,+3.99734E+01
 +2.90204E+01,+4.07309E+01
 +2.87269E+01,+4.15032E+01
 +2.84264E+01,+4.22748E+01
 +2.81184E+01,+4.30456E+01
 +2.87647E+01,+4.39824E+01
 +2.94316E+01,+4.49155E+01
 +2.93662E+01,+4.55050E+01
 +2.81236E+01,+4.58932E+01
 +2.68638E+01,+4.62677E+01
 +2.54943E+01,+4.65029E+01
 +2.41133E+01,+4.67216E+01
 +2.27215E+01,+4.69235E+01
 +2.13196E+01,+4.71085E+01
 +2.00510E+01,+4.73991E+01
 +1.87686E+01,+4.76756E+01
 +1.74729E+01,+4.79377E+01
 +1.61644E+01,+4.81850E+01
 +1.47300E+01,+4.82938E+01
 +1.32900E+01,+4.83847E+01
 +1.18454E+01,+4.84576E+01
 +1.03971E+01,+4.85124E+01
 +8.94620E+00,+4.85489E+01
 +8.18373E+00,+4.81671E+01
 +7.58001E+00,+4.78931E+01
 +6.98268E+00,+4.76160E+01
 +6.08291E+00,+4.71498E+01
 +5.47133E+00,+4.64703E+01
 +5.43421E+00,+4.59414E+01
 +5.39779E+00,+4.54125E+01
 +5.60728E+00,+4.46474E+01
 +5.81131E+00,+4.38820E+01
 +5.95238E+00,+4.29346E+01
 +6.08917E+00,+4.19869E+01
 +6.22195E+00,+4.10392E+01
 +6.35096E+00,+4.00913E+01
 +6.47642E+00,+3.91432E+01
 +6.59855E+00,+3.81950E+01
 +6.71754E+00,+3.72467E+01
*** end of line segment ***
Persia-Tibet-Burma         by Peter Bird, October 2001
 +6.00000E+01,+4.08714E+01
 +5.88105E+01,+4.07758E+01
 +5.76417E+01,+4.04945E+01
 +5.65328E+01,+4.05550E+01
 +5.54221E+01,+4.06049E+01
 +5.43099E+01,+4.06442E+01
 +5.32921E+01,+4.09502E+01
 +5.22650E+01,+4.12472E+01
 +5.13870E+01,+4.17498E+01
 +5.04952E+01,+4.22455E+01
 +4.95893E+01,+4.27343E+01
 +4.86692E+01,+4.32158E+01
 +4.77346E+01,+4.36898E+01
 +4.67755E+01,+4.41044E+01
 +4.58029E+01,+4.45110E+01
 +4.48168E+01,+4.49091E+01
 +4.34651E+01,+4.51284E+01
 +4.21034E+01,+4.53316E+01
 +4.07322E+01,+4.55185E+01
 +3.93523E+01,+4.56889E+01
 +3.78023E+01,+4.56363E+01
 +3.62557E+01,+4.55628E+01
 +3.62437E+01,+4.49932E+01
 +3.62319E+01,+4.44236E+01
 +3.73541E+01,+4.38761E+01
 +3.84557E+01,+4.33178E+01
 +3.95370E+01,+4.27492E+01
 +3.96289E+01,+4.19978E+01
 +3.97187E+01,+4.12464E+01
 +3.98065E+01,+4.04949E+01
 +3.97295E+01,+3.99588E+01
 +3.96536E+01,+3.94226E+01
 +4.02353E+01,+3.90690E+01
 +4.08111E+01,+3.87125E+01
 +4.11427E+01,+3.85590E+01
 +4.17453E+01,+3.83000E+01
 +4.21047E+01,+3.76915E+01
 +4.24582E+01,+3.70819E+01
 +4.29433E+01,+3.65141E+01
 +4.35162E+01,+3.58901E+01
 +4.39818E+01,+3.54981E+01
 +4.44428E+01,+3.51044E+01
 +4.46103E+01,+3.46716E+01
 +4.47761E+01,+3.42385E+01
 +4.52743E+01,+3.35400E+01
 +4.56905E+01,+3.30368E+01
 +4.63769E+01,+3.25408E+01
 +4.71810E+01,+3.20972E+01
 +4.75373E+01,+3.19671E+01
 +4.79381E+01,+3.19630E+01
 +4.82553E+01,+3.18949E+01
 +4.87980E+01,+3.12762E+01
 +4.90260E+01,+3.08673E+01
 +4.92520E+01,+3.04581E+01
 +4.97330E+01,+3.01114E+01
 +5.02106E+01,+2.97630E+01
 +5.05792E+01,+2.92118E+01
 +5.02664E+01,+2.85893E+01
 +5.05626E+01,+2.80574E+01
 +5.08558E+01,+2.75248E+01
 +5.16195E+01,+2.71454E+01
 +5.22421E+01,+2.69629E+01
 +5.29948E+01,+2.65735E+01
 +5.36173E+01,+2.63896E+01
 +5.44537E+01,+2.60011E+01
 +5.52332E+01,+2.60859E+01
 +5.56592E+01,+2.64457E+01
 +5.60878E+01,+2.68043E+01
 +5.65332E+01,+2.67365E+01
 +5.68244E+01,+2.62644E+01
 +5.70375E+01,+2.55124E+01
 +5.72552E+01,+2.47460E+01
 +5.77448E+01,+2.44023E+01
 +5.86281E+01,+2.43231E+01
 +5.95173E+01,+2.42739E+01
 +6.00000E+01,+2.40248E+01
 +6.06794E+01,+2.40202E+01
 +6.13588E+01,+2.40156E+01
 +6.19530E+01,+2.39772E+01
 +6.25804E+01,+2.41785E+01
 +6.33615E+01,+2.41744E+01
 +6.41591E+01,+2.42423E+01
 +6.50789E+01,+2.43125E+01
 +6.57083E+01,+2.43860E+01
 +6.63385E+01,+2.44568E+01
 +6.68787E+01,+2.49086E+01
 +6.74229E+01,+2.53585E+01
 +6.75920E+01,+2.58445E+01
 +6.75800E+01,+2.63786E+01
 +6.75749E+01,+2.69464E+01
 +6.76560E+01,+2.77736E+01
 +6.76670E+01,+2.82669E+01
 +6.75684E+01,+2.84321E+01
 +6.76138E+01,+2.92350E+01
 +6.76404E+01,+2.96533E+01
 +6.80070E+01,+2.96101E+01
 +6.82640E+01,+2.90931E+01
 +6.88477E+01,+2.85765E+01
 +6.97131E+01,+2.87812E+01
 +7.04261E+01,+2.91020E+01
 +7.06257E+01,+2.97493E+01
 +7.06110E+01,+3.03036E+01
 +7.05961E+01,+3.08578E+01
 +7.04414E+01,+3.13112E+01
 +7.02852E+01,+3.17644E+01
 +7.07818E+01,+3.22816E+01
 +7.12841E+01,+3.27968E+01
 +7.17355E+01,+3.33259E+01
 +7.21925E+01,+3.38533E+01
 +7.24674E+01,+3.43185E+01
 +7.29880E+01,+3.38732E+01
 +7.35032E+01,+3.34257E+01
 +7.42788E+01,+3.30597E+01
 +7.50476E+01,+3.27794E+01
 +7.56347E+01,+3.20902E+01
 +7.56801E+01,+3.15305E+01
 +7.64772E+01,+3.10477E+01
 +7.69698E+01,+3.06347E+01
 +7.76026E+01,+3.04605E+01
 +7.80334E+01,+3.01276E+01
 +7.83818E+01,+2.97885E+01
 +7.88698E+01,+2.95786E+01
 +7.91582E+01,+2.92909E+01
 +7.97462E+01,+2.90396E+01
 +8.01861E+01,+2.89958E+01
 +8.04995E+01,+2.88711E+01
 +8.09979E+01,+2.86867E+01
 +8.13169E+01,+2.83153E+01
 +8.21515E+01,+2.80647E+01
 +8.28903E+01,+2.77819E+01
 +8.36161E+01,+2.74938E+01
 +8.41098E+01,+2.73516E+01
 +8.46022E+01,+2.72076E+01
 +8.55706E+01,+2.70721E+01
 +8.62036E+01,+2.69966E+01
 +8.64332E+01,+2.66379E+01
 +8.67724E+01,+2.65702E+01
 +8.71672E+01,+2.69240E+01
 +8.76987E+01,+2.68090E+01
 +8.82706E+01,+2.67860E+01
 +8.92267E+01,+2.69310E+01
 +8.97130E+01,+2.61590E+01
 +9.01930E+01,+2.53853E+01
 +9.06668E+01,+2.46101E+01
 +9.11348E+01,+2.38334E+01
 +9.15972E+01,+2.30554E+01
 +9.20543E+01,+2.22760E+01
 +9.25063E+01,+2.14953E+01
 +9.29535E+01,+2.07135E+01
 +9.33960E+01,+1.99305E+01
 +9.38343E+01,+1.91464E+01
 +9.38634E+01,+1.88629E+01
 +9.37762E+01,+1.80891E+01
 +9.35816E+01,+1.72348E+01
 +9.34529E+01,+1.65723E+01
 +9.32588E+01,+1.58009E+01
 +9.28979E+01,+1.51212E+01
 +9.24265E+01,+1.43745E+01
 +9.34623E+01,+1.43885E+01
 +9.44983E+01,+1.43979E+01
 +9.55343E+01,+1.44029E+01
 +9.64384E+01,+1.43508E+01
 +9.73669E+01,+1.43464E+01
 +9.82955E+01,+1.43464E+01
 +9.92240E+01,+1.43421E+01
 +9.97837E+01,+1.47374E+01
 +1.00313E+02,+1.53596E+01
 +1.00846E+02,+1.59806E+01
 +1.01155E+02,+1.64735E+01
